sample	reference	mean_depth	percCOV	coinf_maj_match	coinf_maj_common	coinf_maj_ratio	coinf_min_match	coinf_min_common	coinf_min_ratio	RUN	ID	pl	proto	ext	Delta	Omicron
22PlCoInf-MIDV2xEMAGx0x100_S373	MN908947	1664.06	99.4811368125063	BA.1	59	0.983		0	0	220211_13146	MIDV2xEMAGx0x100	22PlCoInf	MIDNIGHT V2	EMAG	0	100
22PlCoInf-MIDV2xEMAGx100x0_S384	MN908947	2757.73	99.3710270993643	B.1.617.2	38	1		0	0	220211_13146	MIDV2xEMAGx100x0	22PlCoInf	MIDNIGHT V2	EMAG	100	0
22PlCoInf-MIDV2xEMAGx10x90_S374	MN908947	2498.67	99.3707112970711	BA.1	62	1	AY.102	21	0.875	220211_13146	MIDV2xEMAGx10x90	22PlCoInf	MIDNIGHT V2	EMAG	10	90
22PlCoInf-MIDV2xEMAGx20x80_S375	MN908947	2530.23	99.481379864155	B.1.617.2	54	1	BA.1	28	0.903	220211_13146	MIDV2xEMAGx20x80	22PlCoInf	MIDNIGHT V2	EMAG	20	80
22PlCoInf-MIDV2xEMAGx30x70_S376	MN908947	2571.31	99.5449983271997	B.1.617.2	38	1	BA.1	46	0.902	220211_13146	MIDV2xEMAGx30x70	22PlCoInf	MIDNIGHT V2	EMAG	30	70
22PlCoInf-MIDV2xEMAGx40x60_S377	MN908947	2599.82	99.3710270993643	B.1.617.2	38	1	BA.1	46	0.902	220211_13146	MIDV2xEMAGx40x60	22PlCoInf	MIDNIGHT V2	EMAG	40	60
22PlCoInf-MIDV2xEMAGx50x50_S378	MN908947	2532.03	99.3710270993643	B.1.617.2	38	1	BA.1	47	0.922	220211_13146	MIDV2xEMAGx50x50	22PlCoInf	MIDNIGHT V2	EMAG	50	50
22PlCoInf-MIDV2xEMAGx60x40_S379	MN908947	2747.46	99.3710270993643	B.1.617.2	38	1	BA.1	45	0.882	220211_13146	MIDV2xEMAGx60x40	22PlCoInf	MIDNIGHT V2	EMAG	60	40
22PlCoInf-MIDV2xEMAGx70x30_S380	MN908947	2745.51	99.5416527266644	B.1.617.2	38	1	BA.1	41	0.804	220211_13146	MIDV2xEMAGx70x30	22PlCoInf	MIDNIGHT V2	EMAG	70	30
22PlCoInf-MIDV2xEMAGx80x20_S381	MN908947	2741.66	99.5383071261291	B.1.617.2	38	1	BA.1	33	0.647	220211_13146	MIDV2xEMAGx80x20	22PlCoInf	MIDNIGHT V2	EMAG	80	20
22PlCoInf-MIDV2xEMAGx90x10_S383	MN908947	2749.16	99.3710270993643	B.1.617.2	38	1	BA.1	11	0.216	220211_13146	MIDV2xEMAGx90x10	22PlCoInf	MIDNIGHT V2	EMAG	90	10
22PlCoInf-MIDV2xMGIx0x100_S361	MN908947	1998.57	99.3706691661367	BA.1	58	0.983		0	0	220211_13146	MIDV2xMGIx0x100	22PlCoInf	MIDNIGHT V2	MGI	0	100
22PlCoInf-MIDV2xMGIx100x0_S372	MN908947	2513.99	99.3710270993643	B.1.617.2	36	0.947		0	0	220211_13146	MIDV2xMGIx100x0	22PlCoInf	MIDNIGHT V2	MGI	100	0
22PlCoInf-MIDV2xMGIx10x90_S362	MN908947	2012.75	99.4744769874477	BA.1	61	0.968	AY.102	21	0.913	220211_13146	MIDV2xMGIx10x90	22PlCoInf	MIDNIGHT V2	MGI	10	90
22PlCoInf-MIDV2xMGIx20x80_S364	MN908947	2045.53	99.3707744828971	BA.1	64	0.955	B.1.617.2	17	0.895	220211_13146	MIDV2xMGIx20x80	22PlCoInf	MIDNIGHT V2	MGI	20	80
22PlCoInf-MIDV2xMGIx30x70_S365	MN908947	2256.58	99.3707744828971	B.1.617.2	40	1	BA.1	43	0.915	220211_13146	MIDV2xMGIx30x70	22PlCoInf	MIDNIGHT V2	MGI	30	70
22PlCoInf-MIDV2xMGIx40x60_S366	MN908947	2256.19	99.3710270993643	B.1.617.2	39	1	BA.1	44	0.88	220211_13146	MIDV2xMGIx40x60	22PlCoInf	MIDNIGHT V2	MGI	40	60
22PlCoInf-MIDV2xMGIx50x50_S367	MN908947	2293.88	99.5081967213115	B.1.617.2	38	1	BA.1	46	0.902	220211_13146	MIDV2xMGIx50x50	22PlCoInf	MIDNIGHT V2	MGI	50	50
22PlCoInf-MIDV2xMGIx60x40_S368	MN908947	1755.99	99.3710270993643	B.1.617.2	38	1	BA.1	42	0.824	220211_13146	MIDV2xMGIx60x40	22PlCoInf	MIDNIGHT V2	MGI	60	40
22PlCoInf-MIDV2xMGIx70x30_S369	MN908947	2432.88	99.3710270993643	B.1.617.2	38	1	BA.1	41	0.804	220211_13146	MIDV2xMGIx70x30	22PlCoInf	MIDNIGHT V2	MGI	70	30
22PlCoInf-MIDV2xMGIx80x20_S370	MN908947	2468.07	99.3710270993643	B.1.617.2	38	1	BA.1	17	0.333	220211_13146	MIDV2xMGIx80x20	22PlCoInf	MIDNIGHT V2	MGI	80	20
22PlCoInf-MIDV2xMGIx90x10_S371	MN908947	2485.13	99.5081967213115	B.1.617.2	38	1	BA.1	12	0.235	220211_13146	MIDV2xMGIx90x10	22PlCoInf	MIDNIGHT V2	MGI	90	10
22PlCoInf-MIDxEMAGx0x100_S349	MN908947	2346.58	99.3003715729923	BA.1	59	0.983		0	0	220211_13146	MIDxEMAGx0x100	22PlCoInf	MIDNIGHT V1	EMAG	0	100
22PlCoInf-MIDxEMAGx100x0_S360	MN908947	2730.78	99.5416527266644	B.1.617.2	37	0.974		0	0	220211_13146	MIDxEMAGx100x0	22PlCoInf	MIDNIGHT V1	EMAG	100	0
22PlCoInf-MIDxEMAGx10x90_S350	MN908947	2395.29	99.3707112970711	BA.1	60	0.968	AY.102	21	0.875	220211_13146	MIDxEMAGx10x90	22PlCoInf	MIDNIGHT V1	EMAG	10	90
22PlCoInf-MIDxEMAGx20x80_S351	MN908947	2455.29	99.5148879223821	B.1.617.2	42	1	BA.1	38	0.844	220211_13146	MIDxEMAGx20x80	22PlCoInf	MIDNIGHT V1	EMAG	20	80
